"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Saint Martin (French Part)","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,8,2,8,8,6,10,
"Saint Martin (French Part)","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,22,5.6,22.5,22.8,17.1,28.5,
"Saint Pierre and Miquelon","Americas","Northern America","Homicide Total Count",,,,,,,,,,,,,,,,,0,0,1,1,,,,,,,,
"Saint Pierre and Miquelon","Americas","Northern America","Homicide Rate",,,,,,,,,,,,,,,,,0,0,16,15.9,,,,,,,,
"Saint Vincent and the Grenadines","Americas","Caribbean","Homicide Total Count",11,18,18,14,13,20,24,9,24,14,20,12,20,18,29,26,20,40,16,23,25,21,28,,,,40,
"Saint Vincent and the Grenadines","Americas","Caribbean","Homicide Rate",10.2,16.7,16.7,13,12,18.5,22.2,8.3,22.2,13,18.5,11.1,18.5,16.6,26.7,23.9,18.4,36.7,14.7,21.1,22.9,19.2,25.6,,,,36.5,
"Samoa","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,16,16,,,6,,,,
"Samoa","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,8.7,8.6,,,3.1,,,,
"San Marino","Europe","Southern Europe","Homicide Total Count",,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
"San Marino","Europe","Southern Europe","Homicide Rate",,,,,,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,,,,,,
"Sao Tome and Principe","Africa","Middle Africa","Homicide Total Count",8,7,12,8,8,,,,,,,,,,,,4,4,14,5,6,6,,,,,,
"Sao Tome and Principe","Africa","Middle Africa","Homicide Rate",7,6,10.1,6.6,6.5,,,,,,,,,,,,2.5,2.5,8.4,2.9,3.4,3.4,,,,,,
"Saudi Arabia","Asia","Western Asia","Homicide Total Count",,,,,,,,,,184,173,229,285,250,301,297,255,265,,,,,,,,472,,419
"Saudi Arabia","Asia","Western Asia","Homicide Rate",,,,,,,,,,0.9,0.8,1.1,1.3,1.1,1.3,1.2,1,1,,,,,,,,1.5,,1.3
"Senegal","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senegal","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Serbia","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,228,243,200,176,164,147,156,171,140,154,130,135,111,142,120,104,123,94
"Serbia","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,2.4,2.6,2.1,1.9,1.8,1.6,1.7,1.9,1.5,1.7,1.4,1.5,1.2,1.6,1.4,1.2,1.4,1.1
"Seychelles","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,10,,9,8,6,14,9,16,4,18,16,7,12,
"Seychelles","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,11.4,,10,8.9,6.6,15.4,9.8,17.4,4.3,19.4,17.2,7.5,12.7,
"Sierra Leone","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,112,99,101,134,184,158,163,187,113,,,124,,
"Sierra Leone","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,2.1,1.7,1.7,2.2,3,2.5,2.5,2.8,1.7,,,1.7,,
"Singapore","Asia","South-Eastern Asia","Homicide Total Count",47,51,43,58,49,54,33,38,40,39,41,32,31,27,20,21,17,18,27,20,19,16,11,17,14,14,18,11
"Singapore","Asia","South-Eastern Asia","Homicide Rate",1.6,1.6,1.3,1.8,1.4,1.6,0.9,1,1.1,1,1,0.8,0.8,0.6,0.5,0.5,0.4,0.4,0.6,0.4,0.4,0.3,0.2,0.3,0.3,0.3,0.3,0.2
"Sint Maarten (Dutch part)","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sint Maarten (Dutch part)","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Slovakia","Europe","Eastern Europe","Homicide Total Count",93,128,,137,129,128,132,140,128,141,129,118,121,137,108,93,82,82,86,78,82,88,63,71,69,44,57,80
"Slovakia","Europe","Eastern Europe","Homicide Rate",1.8,2.4,,2.6,2.4,2.4,2.5,2.6,2.4,2.6,2.4,2.2,2.2,2.5,2,1.7,1.5,1.5,1.6,1.4,1.5,1.6,1.2,1.3,1.3,0.8,1,1.5
"Slovenia","Europe","Southern Europe","Homicide Total Count",41,40,48,26,41,44,38,36,14,25,36,28,36,21,27,20,12,24,10,13,15,16,14,12,16,20,10,19
"Slovenia","Europe","Southern Europe","Homicide Rate",2,2,2.4,1.3,2.1,2.2,1.9,1.8,0.7,1.3,1.8,1.4,1.8,1.1,1.4,1,0.6,1.2,0.5,0.6,0.7,0.8,0.7,0.6,0.8,1,0.5,0.9
"Solomon Islands","Oceania","Melanesia","Homicide Total Count",,,,,,,,,,,,,,,20,26,23,26,19,,,,,,,,,
"Solomon Islands","Oceania","Melanesia","Homicide Rate",,,,,,,,,,,,,,,4.4,5.5,4.8,5.3,3.8,,,,,,,,,
"Somalia","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Somalia","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Africa","Africa","Southern Africa","Homicide Total Count",,,,,25965,26877,25470,24486,25127,22604,21758,21405,21553,19824,18793,18528,19106,18400,18084,16767,15893,15554,16213,17023,17805,18673,19016,20336
"South Africa","Africa","Southern Africa","Homicide Rate",,,,,63,63.9,59.4,56.1,56.6,50.2,47.6,46.1,45.8,41.6,39,38,38.7,36.9,35.9,32.9,30.8,29.8,30.6,31.7,32.6,33.8,34,35.9
"South Sudan","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,1504,,,,,
"South Sudan","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,
"Spain","Europe","Southern Europe","Homicide Total Count",484,439,441,474,429,411,397,463,522,486,553,577,564,587,520,518,476,482,407,412,401,385,364,302,323,302,294,307
"Spain","Europe","Southern Europe","Homicide Rate",1.2,1.1,1.1,1.2,1.1,1,1,1.2,1.3,1.2,1.4,1.4,1.3,1.4,1.2,1.2,1.1,1.1,0.9,0.9,0.9,0.8,0.8,0.6,0.7,0.7,0.6,0.7
"Sri Lanka","Asia","Southern Asia","Homicide Total Count",1985,,,,,1614,1775,1851,,1919,,,,1310,1377,1219,2044,,2002,1099,763,732,676,619,553,487,530,486
"Sri Lanka","Asia","Southern Asia","Homicide Rate",11.5,,,,,8.8,9.7,10,,10.3,,,,6.8,7.1,6.2,10.4,,10,5.5,3.8,3.6,3.3,3,2.7,2.4,2.5,2.3
"State of Palestine","Asia","Western Asia","Homicide Total Count",,,,,,31,120,45,45,54,,,,94,96,86,,,48,44,32,24,26,24,35,45,33,
"State of Palestine","Asia","Western Asia","Homicide Rate",,,,,,1.2,4.4,1.6,1.5,1.7,,,,2.7,2.7,2.4,,,1.2,1.1,0.8,0.6,0.6,0.5,0.8,1,0.7,
"Sudan","Africa","Northern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,1511,1702,,,,,,,,,
"Sudan","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,4.7,5.2,,,,,,,,,
"Suriname","Americas","South America","Homicide Total Count",,,,,,,,,,,68,79,57,60,46,69,62,45,43,,,,,29,32,34,41,31
"Suriname","Americas","South America","Homicide Rate",,,,,,,,,,,14.4,16.5,11.8,12.3,9.3,13.8,12.3,8.8,8.3,,,,,5.3,5.8,6.1,7.3,5.5
"Sweden","Europe","Northern Europe","Homicide Total Count",95,115,114,108,100,87,99,87,92,101,96,87,101,85,107,83,91,111,82,93,91,81,68,87,87,112,106,113
"Sweden","Europe","Northern Europe","Homicide Rate",1.1,1.3,1.3,1.2,1.1,1,1.1,1,1,1.1,1.1,1,1.1,0.9,1.2,0.9,1,1.2,0.9,1,1,0.9,0.7,0.9,0.9,1.1,1.1,1.1
"Switzerland","Europe","Western Europe","Homicide Total Count",110,98,93,105,80,82,83,87,76,89,69,86,86,73,78,75,60,51,54,51,52,46,45,57,41,57,45,45
"Switzerland","Europe","Western Europe","Homicide Rate",1.6,1.5,1.4,1.5,1.1,1.2,1.2,1.2,1.1,1.2,1,1.2,1.2,1,1.1,1,0.8,0.7,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.7,0.5,0.5
"Syrian Arab Republic","Asia","Western Asia","Homicide Total Count",,,,,,,,296,336,330,357,376,368,405,426,430,446,533,529,476,463,,,,,,,
"Syrian Arab Republic","Asia","Western Asia","Homicide Rate",,,,,,,,2,2.2,2.1,2.2,2.2,2.2,2.3,2.4,2.4,2.4,2.7,2.6,2.3,2.2,,,,,,,
"Tajikistan","Asia","Central Asia","Homicide Total Count",168,148,605,1304,636,435,484,498,491,357,283,233,180,164,142,157,194,132,100,97,181,126,,,,,,
"Tajikistan","Asia","Central Asia","Homicide Rate",3.2,2.7,11,23.3,11.2,7.5,8.3,8.4,8.2,5.8,4.6,3.7,2.8,2.5,2.1,2.3,2.8,1.8,1.4,1.3,2.4,1.6,,,,,,
"Thailand","Asia","South-Eastern Asia","Homicide Total Count",5344,5586,5959,5482,5006,4542,4474,4787,5361,5052,5142,5020,4538,6434,4273,4806,4687,4435,3974,3703,3654,3307,3323,2894,2649,2387,2229,
"Thailand","Asia","South-Eastern Asia","Homicide Rate",9.4,9.8,10.3,9.4,8.5,7.6,7.4,7.9,8.7,8.1,8.2,7.9,7.1,10,6.6,7.3,7.1,6.7,6,5.5,5.4,4.9,4.9,4.2,3.9,3.5,3.2,
"The former Yugoslav Republic of Macedonia","Europe","Southern Europe","Homicide Total Count",,,,,,,,,48,38,47,55,60,70,49,44,46,42,35,35,43,30,29,22,35,25,19,31
"The former Yugoslav Republic of Macedonia","Europe","Southern Europe","Homicide Rate",,,,,,,,,2.4,1.9,2.3,2.7,2.9,3.4,2.4,2.1,2.2,2,1.7,1.7,2.1,1.4,1.4,1.1,1.7,1.2,0.9,1.5
"Timor-Leste","Asia","South-Eastern Asia","Homicide Total Count",,,,,,,,,,,,,,,23,46,49,62,35,32,39,,,,,49,,
"Timor-Leste","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,,,,,,,2.3,4.5,4.7,5.8,3.2,2.9,3.5,,,,,3.9,,
"Togo","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Togo","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tokelau","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tokelau","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tonga","Oceania","Polynesia","Homicide Total Count",,,,,,2,2,2,,,1,6,6,6,2,4,8,1,4,8,1,2,1,,,,,
"Tonga","Oceania","Polynesia","Homicide Rate",,,,,,2.1,2.1,2.1,,,1,6.1,6,6,2,4,7.9,1,3.9,7.7,1,1.9,1,,,,,
"Trinidad and Tobago","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,120,151,171,229,260,386,371,391,547,507,473,352,380,407,405,420,,
"Trinidad and Tobago","Americas","Caribbean","Homicide Rate",,,,,,,,,,,9.5,11.9,13.4,17.8,20.1,29.8,28.5,29.9,41.6,38.4,35.6,26.4,28.3,30.2,29.9,30.9,,
"Tunisia","Africa","Northern Africa","Homicide Total Count",,,,,,,,,,,,,,,195,260,249,273,280,255,286,,332,,,,,
"Tunisia","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,1.9,2.6,2.4,2.7,2.7,2.4,2.7,,3,,,,,
"Turkey","Asia","Western Asia","Homicide Total Count",,,,,,,,,,,,,,2837,2914,3305,3168,3599,3257,3692,3064,3061,3216,,,,,
"Turkey","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,4.3,4.3,4.9,4.6,5.2,4.6,5.2,4.2,4.2,4.3,,,,,
"Turkmenistan","Asia","Central Asia","Homicide Total Count",332,306,296,332,308,269,334,358,345,321,267,248,241,233,209,206,203,,,,,,,,,,,
"Turkmenistan","Asia","Central Asia","Homicide Rate",9,8.1,7.6,8.3,7.5,6.4,7.8,8.2,7.8,7.2,5.9,5.4,5.2,5,4.4,4.3,4.2,,,,,,,,,,,
"Turks and Caicos Islands","Americas","Caribbean","Homicide Total Count",0,0,1,1,2,1,1,2,0,0,0,0,2,0,,0,,2,2,2,,,,4,2,,,
"Turks and Caicos Islands","Americas","Caribbean","Homicide Rate",0,0,7.7,7.3,13.7,6.5,6.3,12.1,0,0,0,0,9.2,0,,0,,7,6.8,6.6,,,,12.1,5.9,,,
"Tuvalu","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,,,,,
"Tuvalu","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,0,0,0,0,0,0,0,0,9.5,9.4,18.6,,,,,
"Uganda","Africa","Eastern Africa","Homicide Total Count",,,,,,1710,1806,1919,,,,,,2136,2049,2492,2696,2645,2793,3233,3160,3753,4066,3857,4473,,4482,4735
"Uganda","Africa","Eastern Africa","Homicide Rate",,,,,,8.3,8.5,8.8,,,,,,8,7.4,8.7,9.1,8.6,8.8,9.9,9.3,10.7,11.2,10.3,11.5,,10.8,11
"Ukraine","Europe","Eastern Europe","Homicide Total Count",2558,2648,3370,3696,4223,4407,4896,4231,4195,4250,4418,4854,4296,4041,3487,3030,2958,2646,2466,2240,1988,,2336,,2845,,,2751
"Ukraine","Europe","Eastern Europe","Homicide Rate",5,5.1,6.6,7.2,8.3,8.7,9.7,8.4,8.4,8.6,9,10,9,8.5,7.4,6.5,6.3,5.7,5.3,4.9,4.3,,5.2,,6.3,,,6.2
"United Arab Emirates","Asia","Western Asia","Homicide Total Count",,,,,,,,,,,,,,45,27,56,39,,,,67,51,69,57,61,60,66,44
"United Arab Emirates","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,1.2,0.7,1.2,0.7,,,,0.8,0.6,0.8,0.6,0.7,0.7,0.7,0.5
"United Kingdom (England and Wales)","Europe","Northern Europe","Homicide Total Count",537,556,651,670,727,753,679,739,750,766,764,793,944,775,779,708,710,729,639,595,633,526,543,521,510,570,706,726
"United Kingdom (England and Wales)","Europe","Northern Europe","Homicide Rate",1.1,1.1,1.3,1.3,1.4,1.5,1.3,1.4,1.5,1.5,1.5,1.5,1.8,1.5,1.5,1.3,1.3,1.3,1.2,1.1,1.1,0.9,1,0.9,0.9,1,1.2,1.2
"United Kingdom (Northern Ireland)","Europe","Northern Europe","Homicide Total Count",100,114,108,101,83,22,35,40,75,34,45,57,38,42,34,31,30,29,24,29,23,22,21,20,17,23,18,24
"United Kingdom (Northern Ireland)","Europe","Northern Europe","Homicide Rate",6.3,7.1,6.7,6.2,5,1.3,2.1,2.4,4.5,2,2.7,3.4,2.2,2.5,2,1.8,1.7,1.6,1.3,1.6,1.3,1.2,1.2,1.1,0.9,1.2,1,1.3
"United Kingdom (Scotland)","Europe","Northern Europe","Homicide Total Count",76,64,110,114,109,125,126,86,96,120,106,116,125,109,137,95,120,115,99,82,100,93,63,62,62,59,65,59
"United Kingdom (Scotland)","Europe","Northern Europe","Homicide Rate",1.5,1.3,2.2,2.2,2.1,2.4,2.5,1.7,1.9,2.4,2.1,2.3,2.5,2.2,2.7,1.9,2.3,2.2,1.9,1.6,1.9,1.8,1.2,1.2,1.2,1.1,1.2,1.1
"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe","Homicide Total Count",713,734,869,885,919,900,840,865,921,920,915,966,1107,926,950,834,860,873,762,706,756,641,627,603,589,652,791,803
"United Kingdom of Great Britain and Northern Ireland","Europe","Northern Europe","Homicide Rate",1.2,1.3,1.5,1.5,1.6,1.6,1.4,1.5,1.6,1.6,1.6,1.6,1.9,1.6,1.6,1.4,1.4,1.4,1.2,1.1,1.2,1,1,0.9,0.9,1,1.2,1.2
"United Republic of Tanzania","Africa","Eastern Africa","Homicide Total Count",,,,,,2110,2283,2355,,,,,,2778,2926,,,,,,3888,4149,4092,3697,3902,3746,3439,
"United Republic of Tanzania","Africa","Eastern Africa","Homicide Rate",,,,,,7,7.4,7.4,,,,,,7.5,7.6,,,,,,8.4,8.7,8.3,7.3,7.5,7,6.2,
"United States of America","Americas","Northern America","Homicide Total Count",23438,24703,23760,24526,23326,21606,19645,18208,16974,15522,15586,19033,16229,16528,16148,16740,17309,17128,16465,15399,14722,14661,14856,14319,14164,15883,17413,17284
"United States of America","Americas","Northern America","Homicide Rate",9.3,9.7,9.2,9.4,8.9,8.1,7.3,6.7,6.2,5.6,5.5,6.7,5.6,5.7,5.5,5.7,5.8,5.7,5.4,5,4.8,4.7,4.7,4.5,4.5,5,5.4,5.3
"United States Virgin Islands","Americas","Caribbean","Homicide Total Count",,,,,,,,30,25,27,23,28,41,31,37,37,43,43,46,50,56,45,52,,,,,
"United States Virgin Islands","Americas","Caribbean","Homicide Rate",,,,,,,,27.7,23,24.8,21.2,25.8,37.8,28.6,34.2,34.3,40,40.1,43.1,47,52.8,42.5,49.3,,,,,
"Uruguay","Americas","South America","Homicide Total Count",206,194,182,,,191,205,243,244,216,214,218,231,197,200,190,202,194,221,226,205,199,267,260,268,293,268,284
"Uruguay","Americas","South America","Homicide Rate",6.6,6.2,5.8,,,5.9,6.3,7.4,7.4,6.5,6.4,6.6,6.9,5.9,6,5.7,6.1,5.8,6.6,6.7,6.1,5.9,7.9,7.6,7.8,8.5,7.8,8.2
"Uzbekistan","Asia","Central Asia","Homicide Total Count",1125,1062,1145,1139,1219,1157,1153,1054,1065,1014,1068,1081,1058,963,962,910,861,815,831,,,,,,450,506,444,363
"Uzbekistan","Asia","Central Asia","Homicide Rate",5.5,5.1,5.3,5.2,5.4,5.1,4.9,4.4,4.4,4.1,4.3,4.3,4.1,3.7,3.7,3.4,3.2,3,3,,,,,,1.5,1.6,1.4,1.1
"Vanuatu","Oceania","Melanesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanuatu","Oceania","Melanesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Venezuela (Bolivarian Republic of)","Americas","South America","Homicide Total Count",2474,2502,3266,4292,4733,4481,4961,4225,4550,5974,8022,7960,9617,11342,9719,9964,12257,13156,14589,13985,13080,14098,16072,,19030,,17778,
"Venezuela (Bolivarian Republic of)","Americas","South America","Homicide Rate",12.5,12.3,15.7,20.2,21.8,20.2,21.9,18.3,19.3,24.9,32.8,31.9,37.8,43.8,36.9,37.2,45,47.5,51.8,48.9,45.1,47.8,53.8,,61.9,,56.3,
"Viet Nam","Asia","South-Eastern Asia","Homicide Total Count",,,,,,,,,,,,1004,1067,1059,1063,1053,1048,1168,1092,1233,1336,1358,,,,,,
"Viet Nam","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,,,,1.2,1.3,1.3,1.3,1.2,1.2,1.4,1.3,1.4,1.5,1.5,,,,,,
"Wallis and Futuna Islands","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wallis and Futuna Islands","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Sahara","Africa","Northern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Sahara","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen","Asia","Western Asia","Homicide Total Count",,,,,,,,,615,1024,697,,,704,646,945,895,850,874,990,1099,1375,1616,1703,,,,
"Yemen","Asia","Western Asia","Homicide Rate",,,,,,,,,3.6,5.9,3.9,,,3.6,3.2,4.6,4.2,3.9,3.9,4.3,4.7,5.7,6.5,6.7,,,,
"Zambia","Africa","Eastern Africa","Homicide Total Count",550,684,768,745,831,,,,872,1072,797,,,,,,,,694,812,814,863,885,867,825,853,,
"Zambia","Africa","Eastern Africa","Homicide Rate",6.9,8.3,9.1,8.6,9.3,,,,8.8,10.5,7.6,,,,,,,,5.3,6,5.9,6,6,5.7,5.3,5.3,,
"Zimbabwe","Africa","Eastern Africa","Homicide Total Count",587,,,,,,,,,,,1529,1623,1360,1356,1350,1072,,,,711,,981,,,,,
"Zimbabwe","Africa","Eastern Africa","Homicide Rate",5.8,,,,,,,,,,,12.4,13,10.8,10.6,10.4,8.2,,,,5,,6.7,,,,,
